date,account,category,amount,currency,converted amount,currency,description
30/12/2020,Cash,Eating out,-15,INR,-15,INR,Bhel puri
31/12/2020,Cash,Car,-124,INR,-124,INR,Led indicator components for cycle
01/01/2021,Cash,Clothes,-680,INR,-680,INR,2 chappals
01/01/2021,Cash,Toiletry,-70.2,INR,-70.2,INR,Ss
01/01/2021,Cash,Food,-199,INR,-199,INR,Dates
01/01/2021,Cash,Food,-79.98,INR,-79.98,INR,Vegetables
01/01/2021,Cash,Communications,-200,INR,-200,INR,"Moms phone gorilla glass,and back case"
01/01/2021,Cash,House,"-12,500",INR,"-12,500",INR,Rent
01/01/2021,Cash,Food,"-2,000",INR,"-2,000",INR,Milk
02/01/2021,Cash,Car,-950,INR,-950,INR,Cycle repair
03/01/2021,Cash,Health,-20,INR,-20,INR,10 koflet tofee
03/01/2021,Cash,Communications,-10,INR,-10,INR,Printout color latlong consent lettet
05/01/2021,Cash,Transport,-200,INR,-200,INR,Metro recharge
05/01/2021,Cash,Health,-21,INR,-21,INR,B complex
09/01/2021,Cash,Food,-123,INR,-123,INR,Vegetables
09/01/2021,Cash,Transport,-30,INR,-30,INR,Auto
09/01/2021,Cash,Car,"-1,170",INR,"-1,170",INR,2 wheeler service
09/01/2021,Cash,Clothes,-178,INR,-178,INR,Dads watch repair
09/01/2021,Cash,Car,-100,INR,-100,INR,Petrol
11/01/2021,Cash,Transport,-200,INR,-200,INR,Metro recharge
11/01/2021,Cash,Food,-50,INR,-50,INR,Munch
11/01/2021,Cash,Food,-30,INR,-30,INR,Chilly sauce
13/01/2021,Cash,House,-40,INR,-40,INR,Bulb
14/01/2021,Cash,Eating out,-12.5,INR,-12.5,INR,Grapes juice
14/01/2021,Cash,Food,-400,INR,-400,INR,Lpg
14/01/2021,Cash,Bills,-300,INR,-300,INR,Water
16/01/2021,Cash,Food,"-2,478.31",INR,"-2,478.31",INR,Groceries and stuff
19/01/2021,Cash,Communications,"-2,121",INR,"-2,121",INR,Jio 1.5 gb one year recharge
19/01/2021,Cash,Toiletry,-125,INR,-125,INR,After shave
19/01/2021,Cash,Food,-244,INR,-244,INR,Horlicks
21/01/2021,Cash,Clothes,-170,INR,-170,INR,Beanie Cap
21/01/2021,Cash,Gifts,-392,INR,-392,INR,Gift clock for aadhya
21/01/2021,Cash,Communications,-905,INR,-905,INR,Bsnl wifi
22/01/2021,Cash,Bills,"-1,200",INR,"-1,200",INR,Electricity
24/01/2021,Cash,Investment,"-1,003",INR,"-1,003",INR,Elites yest registration 
24/01/2021,Cash,Trip,-80,INR,-80,INR,Hesarghatta expenses
25/01/2021,Cash,Taxi,-440,INR,-440,INR,Cab to divyakkas house
26/01/2021,Cash,House,-75,INR,-75,INR,Stars
26/01/2021,Cash,Food,-165,INR,-165,INR,"Spices, and toothpaste"
26/01/2021,Cash,Food,-70,INR,-70,INR,3kg watermelon 
27/01/2021,Cash,Car,-105,INR,-105,INR,Petrol and tyre 
28/01/2021,Cash,Communications,-365,INR,-365,INR,Bsnl validity extension
29/01/2021,Cash,Car,-100,INR,-100,INR,Petrol
29/01/2021,Cash,Clothes,"-3,500",INR,"-3,500",INR,Wildcraft bag
30/01/2021,Cash,Entertainment,-110,INR,-110,INR,Badminton
30/01/2021,Cash,Car,-100,INR,-100,INR,Petrol
31/01/2021,Cash,Salary,0.1,INR,0.1,INR,Dad's January salary rs48203 adjusted in savings
31/01/2021,Cash,Communications,-589,INR,-589,INR,Vodaphone 
01/02/2021,Cash,Native trip,-200,INR,-200,INR,Train to Mangalore
01/02/2021,Cash,Food,-112,INR,-112,INR,Vegetables
01/02/2021,Cash,House,"-12,500",INR,"-12,500",INR,Rent
01/02/2021,Cash,Communications,-589,INR,-589,INR,Vodaphone 
02/02/2021,Cash,Transport,-250,INR,-250,INR,Metro recharge
03/02/2021,Cash,Eating out,-40,INR,-40,INR,Lunch
04/02/2021,Cash,Eating out,-70,INR,-70,INR,Full meals
04/02/2021,Cash,Food,-840,INR,-840,INR,Lpg
06/02/2021,Cash,Native trip,-150,INR,-150,INR,Auto puttur
06/02/2021,Cash,Communications,-21,INR,-21,INR,4g data voucher
10/02/2021,Cash,Native trip,"-1,760",INR,"-1,760",INR,Return bus ticket for 3ppl
10/02/2021,Cash,Taxi,-50,INR,-50,INR,"Uber ,added to Amazon pay"
10/02/2021,Cash,Salary,"25,000",INR,"25,000",INR,Adakke and stuff
11/02/2021,Cash,Food,-113,INR,-113,INR,Fruits
11/02/2021,Cash,Food,-70,INR,-70,INR,"Chocolate,bread"
11/02/2021,Cash,Bills,-300,INR,-300,INR,Water
11/02/2021,Cash,Gifts,"-34,000",INR,"-34,000",INR,Homa
11/02/2021,Cash,Bills,"-1,200",INR,"-1,200",INR,Electricity
12/02/2021,Cash,Transport,-200,INR,-200,INR,Metro recharge
13/02/2021,Cash,Clothes,-485,INR,-485,INR,Jacket scot international 
13/02/2021,Cash,Eating out,-40,INR,-40,INR,Katti roll
16/02/2021,Cash,Bills,-66,INR,-66,INR,Netflix
16/02/2021,Cash,Food,-228,INR,-228,INR,Women's Horlicks
17/02/2021,Cash,Food,-145,INR,-145,INR,"Bread,rusk"
18/02/2021,Cash,Food,-220,INR,-220,INR,Coffee chicory 0.25 and pure 0.25
18/02/2021,Cash,House,-35,INR,-35,INR,Calender
18/02/2021,Cash,Investment,"-1,000",INR,"-1,000",INR,YouTube ads investment
19/02/2021,Cash,Native trip,"-1,648",INR,"-1,648",INR,Return bus ticket for 2 people
19/02/2021,Cash,Transport,-300,INR,-300,INR,Metro recharge
19/02/2021,Cash,Native trip,-790,INR,-790,INR,Airavata to mangalore
20/02/2021,Cash,Native trip,-40,INR,-40,INR,Mangalore to hosangadi
20/02/2021,Cash,Native trip,-15,INR,-15,INR,Hosangadi to bakery
22/02/2021,Cash,Transport,-70,INR,-70,INR,Auto
23/02/2021,Cash,Eating out,-60,INR,-60,INR,Rice sambar + Madhur vada
23/02/2021,Cash,Food,-615,INR,-615,INR,"Akki, chips and stuff, kokum"
24/02/2021,Cash,Eating out,-40,INR,-40,INR,Lunch
24/02/2021,Cash,Clothes,-760,INR,-760,INR,Headphone
27/02/2021,Cash,Communications,-905,INR,-905,INR,Bsnl wifi
28/02/2021,Cash,Clothes,-110,INR,-110,INR,Haircut
28/02/2021,Cash,Salary,0.1,INR,0.1,INR,Dad's Feb salary 70203 adjusted balance in savings
01/03/2021,Cash,Transport,-300,INR,-300,INR,Metro recharge
01/03/2021,Cash,Food,-49,INR,-49,INR,"Tomatoes, baby corn, cabbage"
01/03/2021,Cash,House,"-12,500",INR,"-12,500",INR,Rent
01/03/2021,Cash,Communications,-589,INR,-589,INR,Vodaphone 
01/03/2021,Cash,Food,"-1,368",INR,"-1,368",INR,Milk
03/03/2021,Cash,Car,-100,INR,-100,INR,Petrol
03/03/2021,Cash,Salary,"28,065",INR,"28,065",INR,Stipend for 2 months
03/03/2021,Cash,Food,-866,INR,-866,INR,Grocery
04/03/2021,Cash,Investment,"-1,000",INR,"-1,000",INR,Insta ads
05/03/2021,Cash,Gifts,-499,INR,-499,INR,Gift harrypotter book for pranav
05/03/2021,Cash,Food,-152,INR,-152,INR,"Green sauce,haldirams"
05/03/2021,Cash,Food,-94,INR,-94,INR,"Pineapple,watermelon"
06/03/2021,Cash,Eating out,-15,INR,-15,INR,Sporuts
07/03/2021,Cash,Trip,-30,INR,-30,INR,Bus to ravi Shankar ashram
07/03/2021,Cash,Eating out,-35,INR,-35,INR,Akmi roti
07/03/2021,Cash,Gifts,-105,INR,-105,INR,Madhur udhayastamana seve
08/03/2021,Cash,Food,-108,INR,-108,INR,Vegetables
08/03/2021,Cash,Gifts,"-1,000",INR,"-1,000",INR,Anna dhana
09/03/2021,Cash,Transport,-300,INR,-300,INR,Metro recharge
09/03/2021,Cash,Food,-32,INR,-32,INR,Vegetables
09/03/2021,Cash,Cashback,5,INR,5,INR,Gpay cashback
09/03/2021,Cash,Food,-842,INR,-842,INR,Lpg
11/03/2021,Cash,Dad's expenses,-130,INR,-130,INR,Auto
11/03/2021,Cash,Food,-50,INR,-50,INR,Banana
13/03/2021,Cash,Eating out,-70,INR,-70,INR,Gobi + limca
14/03/2021,Cash,Taxi,-199,INR,-199,INR,Yulu bike deposit
17/03/2021,Cash,Investment,"-1,000",INR,"-1,000",INR,Investment
18/03/2021,Cash,Investment,"-2,000",INR,"-2,000",INR,Google ads
19/03/2021,Cash,Taxi,-139,INR,-139,INR,Auto
19/03/2021,Cash,Transport,-5,INR,-5,INR,Bus pes to nyandahallu
19/03/2021,Cash,Transport,-300,INR,-300,INR,Metro recharge
19/03/2021,Cash,Food,-235,INR,-235,INR,"Rusk,biscuit"
19/03/2021,Cash,Health,-42,INR,-42,INR,Vaseline bcomplex
22/03/2021,Cash,Food,-127,INR,-127,INR,Vegetables
22/03/2021,Cash,Investment,-100,INR,-100,INR,Crypto
23/03/2021,Cash,Food,-52,INR,-52,INR,Vegetables
24/03/2021,Cash,Food,-114,INR,-114,INR,Grapes
26/03/2021,Cash,Food,-20,INR,-20,INR,Onions
26/03/2021,Cash,Bills,-50,INR,-50,INR,Netflix
26/03/2021,Cash,Bills,"-1,260",INR,"-1,260",INR,Electricity
27/03/2021,Cash,Car,-104,INR,-104,INR,Petrol and tyre 
27/03/2021,Cash,Car,-10,INR,-10,INR,Parking
27/03/2021,Cash,Food,-237,INR,-237,INR,Icecream banana
28/03/2021,Cash,Taxi,-7,INR,-7,INR,Yulu
28/03/2021,Cash,Investment,-149,INR,-149,INR,Moneyfy
28/03/2021,Cash,Dad's expenses,"-4,221",INR,"-4,221",INR,Vorkady dad's trip
28/03/2021,Cash,Dad's expenses,-70,INR,-70,INR,Print abd stuff
28/03/2021,Cash,Dad's expenses,-510,INR,-510,INR,Rick and stuff
28/03/2021,Cash,Communications,-905,INR,-905,INR,Bsnl wifi
28/03/2021,Cash,Bills,-300,INR,-300,INR,Water
28/03/2021,Cash,Food,"-6,000",INR,"-6,000",INR,3 months jeans and rice
28/03/2021,Cash,Food,-820,INR,-820,INR,Udupu
28/03/2021,Cash,Dad's expenses,-180,INR,-180,INR,Dad
28/03/2021,Cash,Dad's expenses,-220,INR,-220,INR,Something 
30/03/2021,Cash,Food,-147,INR,-147,INR,Rice
30/03/2021,Cash,Food,-100,INR,-100,INR,Fruits
31/03/2021,Cash,Transport,-300,INR,-300,INR,Metro recharge
31/03/2021,Cash,Food,"-2,242",INR,"-2,242",INR,Milk
31/03/2021,Cash,Food,-28,INR,-28,INR,Whole wheat
02/04/2021,Cash,Clothes,"-1,099",INR,"-1,099",INR,Cargo pants
03/04/2021,Cash,Food,-120,INR,-120,INR,Fruits
03/04/2021,Cash,Food,-90,INR,-90,INR,Junk chips
03/04/2021,Cash,Food,-90,INR,-90,INR,Vegetables
04/04/2021,Cash,Car,-105,INR,-105,INR,Petrol and tyre 
04/04/2021,Cash,Dad's expenses,-279,INR,-279,INR,Tshirt
04/04/2021,Cash,Gifts,-50,INR,-50,INR,
05/04/2021,Cash,Salary,"15,000",INR,"15,000",INR,Stipend
06/04/2021,Cash,Health,-80,INR,-80,INR,Eye drops for ajji
06/04/2021,Cash,Food,-160,INR,-160,INR,Vegetables
07/04/2021,Cash,Food,-85,INR,-85,INR,Vegetables and fruits
07/04/2021,Cash,Health,-87,INR,-87,INR,Ointment
07/04/2021,Cash,Food,"-1,156",INR,"-1,156",INR,Genes
08/04/2021,Cash,Cashback,199,INR,199,INR,Yulu bike deposit
09/04/2021,Cash,Communications,-905,INR,-905,INR,Bsnl wifi
09/04/2021,Cash,Food,-160,INR,-160,INR,Fruits
09/04/2021,Cash,Food,-42,INR,-42,INR,Chips
15/04/2021,Cash,Bills,"-1,636",INR,"-1,636",INR,Current bill
15/04/2021,Cash,Bills,-331,INR,-331,INR,Waterbill
15/04/2021,Cash,Gifts,-100,INR,-100,INR,Flowers
15/04/2021,Cash,Food,-20,INR,-20,INR,Banana
15/04/2021,Cash,Gifts,"-1,000",INR,"-1,000",INR,Ajjige vishu
15/04/2021,Cash,Food,-405,INR,-405,INR,Vegetables and fruits
15/04/2021,Cash,Food,-250,INR,-250,INR,Fruits
15/04/2021,Cash,Food,-110,INR,-110,INR,Fruits
15/04/2021,Cash,Bills,-155,INR,-155,INR,Cable
15/04/2021,Cash,Food,-832,INR,-832,INR,Lpg
16/04/2021,Cash,Deposits,528.27,INR,528.27,INR,Tata mutual fund
19/04/2021,Cash,Deposits,523.29,INR,523.29,INR,ICICI mf
21/04/2021,Cash,Food,-120,INR,-120,INR,Fruits
22/04/2021,Cash,Dad's expenses,"-1,175",INR,"-1,175",INR,Dad's expenses
22/04/2021,Cash,Cashback,120,INR,120,INR,Gpay referal
24/04/2021,Cash,Food,-206,INR,-206,INR,Gopi
24/04/2021,Cash,Food,-362,INR,-362,INR,Gorcery
